deoxy,fat,mel,oxy,water,musp,nmlib
6.1001,0.0001,156.47,3.7184,0.02368,15.297,777
5.9696,0.0001,155.8,3.7463,0.02352,15.259,778
5.8642,0.0001,155.14,3.7741,0.02336,15.222,779
5.7588,0.0001,154.48,3.8019,0.0232,15.185,780
5.6534,0.0001,153.82,3.8298,0.02304,15.148,781
5.5481,0.0001,153.17,3.8576,0.02288,15.111,782
5.4427,0.0001,152.52,3.8855,0.02272,15.075,783
5.3373,0.0001,151.87,3.9133,0.02256,15.038,784
5.2319,0.0001,151.23,3.938,0.0224,15.002,785
5.1265,0.0001,150.59,3.9626,0.02224,14.966,786
5.0313,0.0001,149.95,3.984,0.02208,14.93,787
4.9361,0.0001,149.32,4.0054,0.02192,14.894,788
4.8531,0.0001,148.69,4.0268,0.02176,14.859,789
4.7701,0.0001,148.06,4.0483,0.0216,14.824,790
4.6871,0.0001,147.44,4.0697,0.02144,14.789,791
4.6041,0.0001,146.82,4.0911,0.02128,14.754,792
4.5211,0.0001,146.21,4.1125,0.02112,14.719,793
4.4381,0.0001,145.59,4.1339,0.02096,14.684,794
4.3689,0.0001,144.98,4.1725,0.0208,14.65,795
4.2997,0.0001,144.38,4.2111,0.02064,14.615,796
4.2446,0.0001,143.78,4.2667,0.02048,14.581,797
4.1894,0.0001,143.18,4.3224,0.02032,14.547,798
4.1342,0.0001,142.58,4.346,0.02016,14.513,799
4.0789,0.0001,141.99,4.3696,0.02,14.48,800
4.031,0.0001,141.4,4.4017,0.019986,14.446,801
3.9832,0.0001,140.81,4.4338,0.019972,14.413,802
3.9651,0.0001,140.23,4.4552,0.019957,14.38,803
3.947,0.0001,139.65,4.4767,0.019943,14.347,804
3.9287,0.0001,139.07,4.4981,0.019929,14.314,805
3.9105,0.0001,138.5,4.5195,0.019915,14.281,806
3.8924,0.0001,137.93,4.5516,0.019901,14.249,807
3.8743,0.0001,137.36,4.5838,0.019886,14.216,808
3.8571,0.0001,136.8,4.6052,0.019872,14.184,809
3.8399,0.0001,136.23,4.6266,0.019858,14.152,810
3.8258,0.0001,135.68,4.648,0.020263,14.12,811
3.8118,0.0001,135.12,4.6694,0.020668,14.088,812
3.7978,0.0001,134.57,4.6908,0.021073,14.057,813
3.7837,0.0001,134.02,4.7123,0.021478,14.025,814
3.7696,0.0001,133.47,4.7315,0.021882,13.994,815
3.7555,0.0001,132.93,4.7508,0.022287,13.963,816
3.7414,0.0001,132.39,4.7894,0.022692,13.932,817
3.7274,0.0001,131.85,4.8279,0.023097,13.901,818
3.7212,0.0001,131.31,4.8665,0.023502,13.87,819
3.715,0.0001,130.78,4.905,0.023907,13.839,820
3.7146,0.0001,130.25,4.9436,0.024726,13.809,821
3.7141,0.0001,129.72,4.9822,0.025544,13.778,822
3.7138,0.0001,129.2,5.0207,0.026363,13.748,823
3.7135,0.0001,128.68,5.0593,0.027181,13.718,824
3.7131,0.0001,128.16,5.0903,0.028,13.688,825
3.7126,0.0001,127.64,5.1214,0.028214,13.658,826
3.7123,0.0001,127.13,5.1449,0.028428,13.629,827
3.712,0.0001,126.62,5.1685,0.028641,13.599,828
3.7116,0.0001,126.11,5.1921,0.028855,13.57,829
3.7111,0.0001,125.61,5.2156,0.029069,13.541,830
3.7108,0.0001,125.1,5.2392,0.029633,13.512,831
3.7105,0.0001,124.6,5.2627,0.030197,13.483,832
3.7101,0.0001,124.11,5.2863,0.03076,13.454,833
3.7096,0.0001,123.61,5.3099,0.031324,13.425,834
3.7093,0.0001,123.12,5.3356,0.031888,13.396,835
3.709,0.0001,122.63,5.3613,0.032452,13.368,836
3.7086,0.0001,122.14,5.3891,0.033016,13.34,837
3.7081,0.0001,121.66,5.417,0.033579,13.311,838
3.7078,0.0001,121.18,5.4448,0.034143,13.283,839
3.7075,0.0001,120.7,5.4727,0.034707,13.255,840
3.7071,0.0001,120.22,5.5005,0.035536,13.228,841
3.7066,0.0001,119.74,5.5283,0.036366,13.2,842
3.706,0.0001,119.27,5.5562,0.037195,13.172,843
3.7053,0.0001,118.8,5.584,0.038024,13.145,844
3.7048,0.0001,118.33,5.6033,0.038853,13.117,845
3.7043,0.0001,117.87,5.6226,0.039683,13.09,846
3.7036,0.0001,117.41,5.6333,0.040512,13.063,847
3.703,0.0001,116.95,5.644,0.041341,13.036,848
3.7024,0.0001,116.49,5.6547,0.042171,13.009,849
3.7019,0.0001,116.03,5.6654,0.043,12.982,850
3.7013,0.0001,115.58,5.6761,0.043376,12.956,851
3.7006,0.0001,115.13,5.6868,0.043752,12.929,852
3.7001,0.0001,114.68,5.6976,0.044128,12.903,853
3.6996,0.0001,114.23,5.7083,0.044504,12.877,854
3.6989,0.0001,113.79,5.7265,0.04488,12.85,855
3.6983,0.0001,113.35,5.7447,0.045255,12.824,856
3.7031,0.0001,112.91,5.7704,0.045631,12.798,857
3.7079,0.0001,112.47,5.7961,0.046007,12.773,858
3.7129,0.0001,112.03,5.8218,0.046383,12.747,859
3.718,0.0001,111.6,5.8475,0.046759,12.721,860
3.723,0.0001,111.17,5.8732,0.047283,12.696,861
3.728,0.0001,110.74,5.8989,0.047807,12.67,862
3.733,0.0001,110.31,5.9246,0.048331,12.645,863
3.7379,0.0001,109.89,5.9503,0.048855,12.62,864
3.7429,0.0001,109.47,5.9696,0.049379,12.595,865
3.748,0.0001,109.05,5.9889,0.049903,12.57,866
3.753,0.0001,108.63,6.0017,0.050427,12.545,867
3.758,0.0001,108.21,6.0146,0.050951,12.52,868
3.7688,0.0001,107.8,6.0274,0.051475,12.495,869
3.7797,0.0012907,107.38,6.0403,0.051999,12.471,870
3.7907,0.0010802,106.97,6.0531,0.052799,12.446,871
3.8017,0.0014888,106.57,6.066,0.053599,12.422,872
3.8128,0.0024507,106.16,6.0788,0.0544,12.398,873
3.8238,0.0027879,105.76,6.0917,0.0552,12.374,874
3.8348,0.0036663,105.36,6.1056,0.056,12.35,875
3.8459,0.0047916,104.96,6.1195,0.055996,12.326,876
3.8569,0.0056339,104.56,6.1345,0.055991,12.302,877
3.8679,0.006836,104.16,6.1495,0.055987,12.278,878
3.8789,0.0076763,103.77,6.1645,0.055982,12.254,879
3.89,0.0085136,103.37,6.1795,0.055978,12.231,880
3.8991,0.0095658,102.98,6.1945,0.056423,12.207,881
3.9082,0.011037,102.6,6.2095,0.056869,12.184,882
3.9172,0.012944,102.21,6.2245,0.057314,12.161,883
3.9262,0.014476,101.83,6.2395,0.05776,12.138,884
3.9353,0.013741,101.44,6.2523,0.058205,12.115,885
3.9444,0.016123,101.06,6.2652,0.05865,12.092,886
3.9534,0.017166,100.68,6.2759,0.059096,12.069,887
3.9624,0.017147,100.31,6.2866,0.059541,12.046,888
3.9721,0.01966,99.931,6.2973,0.059987,12.023,889
3.9819,0.021684,99.557,6.308,0.060432,12.001,890
3.9916,0.022999,99.186,6.3187,0.061189,11.978,891
4.0014,0.024856,98.816,6.3294,0.061946,11.956,892
4.0111,0.026794,98.448,6.3401,0.062702,11.933,893
4.0208,0.027934,98.082,6.3509,0.063459,11.911,894
4.0306,0.029236,97.717,6.3616,0.064216,11.889,895
4.0403,0.030879,97.355,6.3723,0.064973,11.867,896
4.0501,0.032899,96.994,6.383,0.06573,11.845,897
4.0598,0.034257,96.634,6.3937,0.066486,11.823,898
4.0697,0.035497,96.277,6.4044,0.067243,11.801,899
4.0795,0.037897,95.921,6.4151,0.068,11.78,900
4.0881,0.040981,95.567,6.4258,0.068491,11.758,901
4.0967,0.04352,95.215,6.4365,0.068983,11.736,902
4.1031,0.045506,94.864,6.4472,0.069474,11.715,903
4.1095,0.048084,94.515,6.4579,0.069965,11.694,904
4.1158,0.050898,94.168,6.4665,0.070457,11.672,905
4.1222,0.050724,93.822,6.4751,0.070948,11.651,906
4.1285,0.053075,93.478,6.4815,0.071439,11.63,907
4.1348,0.056519,93.136,6.4879,0.07193,11.609,908
4.1412,0.058967,92.795,6.4944,0.072422,11.588,909
4.1477,0.061836,92.456,6.5008,0.072913,11.567,910
4.154,0.064884,92.118,6.5072,0.076549,11.546,911
4.1603,0.068206,91.782,6.5136,0.080184,11.526,912
4.1643,0.071219,91.448,6.5201,0.08382,11.505,913
4.1682,0.072603,91.115,6.5265,0.087456,11.484,914
4.1673,0.077705,90.784,6.5318,0.091092,11.464,915
4.1663,0.079762,90.455,6.5372,0.094727,11.443,916
4.1654,0.080159,90.126,6.5415,0.098363,11.423,917
4.1646,0.083712,89.8,6.5458,0.102,11.403,918
4.1636,0.086402,89.475,6.5501,0.10563,11.383,919
4.1626,0.087858,89.152,6.5543,0.10927,11.363,920
4.1618,0.088682,88.83,6.5586,0.11622,11.343,921
4.1609,0.090441,88.509,6.5629,0.12316,11.323,922
4.1599,0.092695,88.19,6.5672,0.13011,11.303,923
4.1588,0.09287,87.873,6.5715,0.13705,11.283,924
4.1473,0.094065,87.557,6.5704,0.144,11.263,925
4.1359,0.095096,87.242,6.5693,0.14979,11.244,926
4.1244,0.094361,86.929,6.5629,0.15558,11.224,927
4.113,0.095231,86.618,6.5565,0.16138,11.205,928
4.1016,0.095627,86.308,6.5501,0.16717,11.185,929
4.0902,0.094963,85.999,6.5436,0.17296,11.166,930
4.0593,0.092745,85.692,6.5372,0.1824,11.147,931
4.0283,0.090612,85.386,6.5308,0.19184,11.128,932
3.9889,0.089843,85.082,6.5243,0.20128,11.109,933
3.9495,0.087783,84.779,6.5179,0.21072,11.089,934
3.9102,0.080832,84.477,6.5136,0.22016,11.071,935
3.8709,0.084427,84.177,6.5094,0.22961,11.052,936
3.8315,0.080697,83.878,6.5072,0.23905,11.033,937
3.7921,0.07511,83.581,6.5051,0.24849,11.014,938
3.7527,0.070823,83.285,6.5029,0.25793,10.995,939
3.7133,0.066573,82.99,6.5008,0.26737,10.977,940
3.6739,0.060259,82.697,6.4986,0.27963,10.958,941
3.6344,0.053991,82.405,6.4965,0.2919,10.94,942
3.5857,0.049362,82.114,6.4944,0.30416,10.921,943
3.537,0.040962,81.825,6.4922,0.31642,10.903,944
3.4849,0.031379,81.537,6.4869,0.32869,10.885,945
3.4329,0.030139,81.25,6.4815,0.34095,10.866,946
3.3808,0.02488,80.965,6.4729,0.35321,10.848,947
3.3288,0.020511,80.681,6.4644,0.36547,10.83,948
3.2768,0.017796,80.398,6.4558,0.37774,10.812,949
3.2249,0.012667,80.117,6.4472,0.39,10.794,950
3.1745,0.007326,79.836,6.4387,0.393,10.776,951
3.124,0.0050153,79.558,6.4301,0.396,10.759,952
3.0852,0.0050336,79.28,6.4215,0.399,10.741,953
3.0465,0.0020978,79.003,6.413,0.402,10.723,954
3.0078,0.0001,78.728,6.4033,0.405,10.706,955
2.9692,0.0001,78.454,6.3937,0.408,10.688,956
2.9305,0.0001,78.182,6.383,0.411,10.67,957
2.8918,0.0001,77.91,6.3723,0.414,10.653,958
2.8531,0.0001,77.64,6.3616,0.417,10.636,959
2.8143,0.0001,77.371,6.3509,0.42,10.618,960
2.7756,0.0001,77.103,6.3401,0.423,10.601,961
2.737,0.0001,76.837,6.3294,0.426,10.584,962
2.6948,0.0001,76.571,6.3187,0.429,10.567,963
2.6526,0.0001,76.307,6.308,0.432,10.55,964
2.5936,0.0001,76.044,6.2952,0.435,10.533,965
2.5346,0.0001,75.782,6.2823,0.438,10.516,966
2.4757,0.0001,75.522,6.2673,0.441,10.499,967
2.4168,0.0001,75.262,6.2523,0.444,10.482,968
2.3578,0.0001,75.004,6.2373,0.447,10.465,969
2.2989,0.0001,74.747,6.2223,0.45,10.449,970
2.2614,0.0001,74.491,6.2073,0.45,10.432,971
2.2238,0.0001,74.236,6.1923,0.45,10.415,972
2.189,0.0001,73.982,6.1774,0.45,10.399,973
2.1541,0.0001,73.729,6.1624,0.45,10.382,974
2.1194,0.0001,73.478,6.1442,0.45,10.366,975
2.0846,0.0001,73.228,6.1259,0.446,10.35,976
2.0462,0.0001,72.978,6.1045,0.442,10.333,977
2.0078,0.0001,72.73,6.0831,0.438,10.317,978
1.9668,0.0001,72.483,6.0617,0.434,10.301,979
1.9259,0.0001,72.237,6.0403,0.43,10.285,980
1.885,0.0001,71.992,6.0189,0.428,10.269,981
1.8441,0.0001,71.748,5.9974,0.426,10.253,982
1.8031,0.0001,71.505,5.976,0.424,10.237,983
1.7622,0.0001,71.264,5.9546,0.422,10.221,984
1.7213,0.0001,71.023,5.9289,0.42,10.205,985
1.6803,0.0001,70.784,5.9032,0.418,10.189,986
1.6394,0.0001,70.545,5.8732,0.416,10.173,987
1.5985,0.0001,70.307,5.8432,0.414,10.158,988
1.5575,0.0001,70.071,5.8132,0.412,10.142,989
1.5166,0.0001,69.836,5.7832,0.41,10.126,990
1.4757,0.0001,69.601,5.7532,0.405,10.111,991
1.4347,0.0001,69.368,5.7233,0.4,10.095,992
1.3938,0.0001,69.136,5.6933,0.395,10.08,993
1.3529,0.0001,68.904,5.6633,0.39,10.065,994
1.312,0.0001,68.674,5.6333,0.385,10.049,995
1.271,0.0001,68.445,5.6033,0.38,10.034,996
1.2301,0.0001,68.216,5.5733,0.375,10.019,997
1.1892,0.0001,67.989,5.5433,0.37,10.004,998
1.1482,0.0001,67.762,5.5134,0.365,9.9886,999
1.1073,0.0001,67.537,5.4834,0.36,9.9735,1000
